Ingredients,Allergy name,Allergens
"organic rolled oats, organic evaporated cane juice, organic quinoa flakes, organic raisins, organic expeller pressed canola oil, organic mango, organic oat bran, organic coconut.","coconut allergy (rare), oat allergy (uncommon)","coconut, oats"
"dry roasted almonds, hatch green chile seasoning (organic cheddar cheese powder [organic cheddar cheese {cultured pasteurized milk, salt, enzymes}, organic nonfat milk,organic whey, salt, sodium phosphate], salt, hatch green chile pepper, evaporated cane juice, onion, parsely, natural flavors,garlic, maltodextrin, spices, spices extractives, citric acid), expeller pressed canola oil.","dairy allergy (common), tree nut allergy","almonds, milk"
"peanut butter (dry roasted peanuts, palm oil, salt), honey, crispy brown rice (brown rice flour [rice flour, rice bran], honey, calcium carbonate), barley malt, soy lecithin (an emulsifier), sea salt, locust bean gum, carrageenan gum.","peanut allergy, soy allergy","peanuts, soy"
ancient sea salt with natural trace minerals,none,none
"organic whole rolled oats, organic expeller pressed canola oil, organic raisins, organic coconut, organic corn meal, organic flax seed, organic freeze dried raspberries, organic freeze dried blueberries, organic vanilla, salt.","coconut allergy (uncommon), oat allergy (uncommon)","coconut, oats"
"whole cashews, sunflower oil, salt, black pepper",cashew allergy,cashews
"cashews, curry seasoning (salt, maltodextrin, spices, torula yeast, onion, garlic, turmeric, extractives of spice and natural flavor), canola oil.",cashew allergy,cashews
"almonds, wasabi spice (salt, rice flour, evaporated cane juice, onion powder, spice extracts, horseradish powder, yeast extract, dried parsley, spice, garlic powder, citric acid), tamari shoyu sauce (water, soybeans, salt, wheat)","almond allergy, soy allergy","almonds, soy"
organic coconut,coconut allergy (uncommon),coconut
organic red quinoa,none,none
"coconut bar (coconut, brown rice syrup), dark chocolate coating (unsweetened chocolate, dehydrated cane juice, cocoa butter, soy lecithin [as an emulsifier], natural vanilla).","coconut allergy, soy allergy","coconut, soy"
"organic semi-sweet chocolate chips (organic sugar, organic chocolate liquor, organic cocoa butter, soy lecithin, organic vanilla), organic pumpkin seeds, organic almonds, organic cranberries (sweetened with organic cane juice), organic raisins, organic coconut, organic sunflower seeds.","soy allergy, tree nut allergy (almonds)","almonds, soy"
"organic whole rolled oates, organic raisins, organic expeller pressed canola oil, organic flax seed, organic corn meal, organic almonds, organic coconut, organic cinnamon, salt.","coconut allergy (uncommon), tree nut allergy (almonds), wheat allergy (if oats are cross-contaminated)","almonds, coconut, wheat"
"organic rolled oats, organic evaporated cane juice, organic expeller pressed canola oil, organic raisins, organic apples, organic almonds, organic oat bran, organic blueberries, organic sunflower seeds.","tree nut allergy (almonds), wheat allergy (if oats are cross-contaminated)","almonds, wheat"
raw cane demerara sugar.,none,none
"organic rolled oats, flame raisins, organic coconut chips, organic maple syrup, sunflower oil, walnuts, roasted diced almonds, wheat germ, honey, crunchy almond butter (dry roasted almonds), hazelnuts, almonds, organic ground cinnamon, organic vanilla extract.","tree nut allergy (common), wheat allergy","hazelnuts, tree nuts (almonds, walnuts), wheat"
organic coconut.,coconut allergy,coconut
organic black beans,none,none
bluebird grain organic grain emmer farro,wheat allergy,wheat
organic hard red wheat berries.,wheat allergy,wheat
"organic rolled oats, organic brown rice syrup, flame raisins, sunflower oil, wheat germ, unsulphured blackstrap molasses, organic maple syrup, honey, almond butter, organic cashews, roasted almonds, organic spices.","tree nut allergy (uncommon), wheat allergy","almonds, cashews, tree nuts, wheat"
"dark chocolate coating (unsweetened chocolate, evaporated cane juice, cocoa butter, soy lecithin [an emulsifier], natural vanilla), dry roasted almonds, turbinado sugar, sea salt.",none,none
"organic rolled oats, organic rolled rye, organic brown rice syrup, organic walnuts, organic raisins, organic safflower oil, spices.",wheat allergy (uncommon),wheat
organic black chia seeds,none,none
"pasteurized free range egg.sugar.blueberries (15%).rapeseed oil.potato starch.water.cornflour.thickener.e1422.palm oil.dried whey (milk).raising agent.e450, sodium bicarbonate. emulsifier. e481, e472e, e472b, e475.flavoring.dried glucose syrup.dried skimmed milk.stabiliser. xanthan gum.salt",egg allergy,eggs
organic french green lentils,lentil allergy (uncommon),lentils
organic garbanzo beans,none,none
organic green split peas,pea allergy (uncommon),peas
"high fiber, low fat, vegetable nourishment.",none,none
organic small white beans.,none,none
organic grey-green lentils,lentil allergy (uncommon),lentils
organic yellow split peas,pea allergy (uncommon),peas
organic mung beans,none,none
organic baby lima beans,none,none
organic dark red kidney bean,none,none
"whole, rolled oats, vegetable oil (canola and/or safflower and/or sunflower oil), coconut, milled cane sugar, almonds, molasses, honey, salt, organic cardamon seed, organic fennel seed, organic fenugreek seed, organic nutmeg.",oat allergy (uncommon),oats
"whole rolled oats, milled cane sugar, vegetable oil (canola and/or safflower and/or sunflower oil), molasses, coconut, almonds, sesame seeds, sunflower seeds, cashews, walnuts, honey, salt, natural flavor, organic cardamom seed, organic fennel seed, organic fenugreek seed, organic nutmeg",oat allergy (uncommon),oats
"whole rolled oats, milled cane sugar, vegetable oil (canola and/or sunflower oil), molasses, maple syrup, almonds, honey, natural flavor, salt, organic cardamom seed, organic fennel seed, organic fenugreek seed, organic nutmeg","almond allergy, oat allergy (uncommon)","almonds, oats"
"whole rolled oats, raisins (raisins, vegetable glycerin, vegetable oil [canola and/or sunflower oil]), rolled rye apple powder, corn flour, apples, date powder, almonds, barley malt syrup, milled cane sugar, organic cinnamon bark, salt, annatto (for color), turmeric (for color), purple carrot juice (for color), organic cardamom seed, organic fennel seed, organic fenugreek seed, organic nutmeg.","almond allergy, barley allergy (uncommon), oat allergy (uncommon)","almonds, barley, oats"
"rolled oats, dates (may contain date pits), sunflower seeds and sesame seeds","oat allergy (uncommon), sesame allergy","oats, sesame seeds"
"organic semolina flour, organic spinach powder, organic tomato powder.",wheat allergy,wheat
"egg pasta (refined durum semolina wheat flour, pasteurized eggs, dehydrated tomato and spinach), filling (grated bread sticks, parmesan cheese, soybean oil, whole milk, egg whites, salt, pepper and nutmeg)","egg allergy, wheat allergy","eggs, wheat "
"refined enriched durum semolina wheat, thiamine, riboflavin, niacin and iron",wheat allergy,wheat
organic refined durum semolina wheat flour,wheat allergy,wheat
"refined, enriched durum semolina wheat flour, thiamine, riboflavin, niacin, iron, folic acid",wheat allergy,wheat
organic refined spelt flour.,wheat allergy,wheat
"wheat, rye, triticale, oat, corn, barley, soy bean, brown rice, and millet flours; flaxseed, buttermilk powder, non-aluminum baking powder (baking soda, sodium phosphate, cornstarch, and monocalcium phosphate), sea salt","dairy allergy (buttermilk powder), rye allergy (uncommon), soy allergy, wheat allergy","milk, rye, soy, wheat"
new zealand sea salt with natural trace elements.,none,none
organic evaporated cane juice.,none,none
"organic refined wheat flour (niacin, iron, thiamin mononitrate, riboflavin and folic acid).",wheat allergy,wheat
organic whole brown rice flour,rice allergy (uncommon),rice
organic whole grain spelt flour,wheat allergy,wheat
organic whole rye flour.,rye allergy (uncommon),rye
"whole rolled oats, milled cane sugar, vegetable oil (canola and/or safflower and/or sunflower oil), rice flour, constarch, dried cranberries (cranberries, sugar, sunflower oil), natural flavor, salt, barley malt syrup, acai berry.","barley allergy (uncommon), oat allergy (uncommon), rice allergy (uncommon)","barley, oats, rice"
organic whole grain hard red wheat flour,wheat allergy,wheat
organic soft white wheat flour.,wheat allergy,wheat
"peanuts, honey, coating (sucrose, wheat starch, honey, maltodextrin, xanthan gum), non gmo canola oil, sugar, salt.","peanut allergy, wheat allergy","peanut , wheat"
organic cashews.,cashew allergy (uncommon),cashews
organic sesame seed with hulls,sesame allergy (uncommon),sesame seeds
organic hulled sesame seeds,sesame allergy (uncommon),sesame seeds
"almonds, salt, corn starch,hydrolyzed corn protein, natural smoke flavor, torula yeast, spices, extractives, and expeller pressed sunflower oil.","almond allergy, corn allergy (uncommon)","almonds , corn"
"spanish peanuts, expeller pressed high monounsaturated safflower and/or sunflower oil, salt",peanut allergy (common),peanuts
"peanuts, almonds, cashews, pecans, sucrose, honey, wheat starch, expeller pressed high monounsaturated safflower and/or sunflower oil, maltodextrin, lactose, salt","dairy allergy, lactose intolerance, peanut allergy (common), tree nut allergy (common), wheat allergy (common)","almonds, cashews, lactose, peanuts, pecans, wheat"
"sunflower kernels, coconut oil, salt","coconut allergy (uncommon), sunflower seed allergy (uncommon)","coconut, sunflower"
"cashews, almonds, hazelnuts, pecans, brazil nuts, expeller pressed, high monosaturated safflower and/or sunflower oil, salt.","almonds, brazil nuts, cashews, hazelnuts, pecans, sunflower","almonds, brazil nuts, cashews, hazelnuts, pecans, sunflower"
"honey roast mixed nuts (peanuts, almonds, cashews, safflower and/or sunflower oil, salt, sugar, wheat, starch, honey, maltodextrin, lactose), raisins, milk chocolate wafers (sugar, whole milk powder, cocoa butter, unsweetened chocolate, soy lecithin, vanilla), dried pineapple.","dairy allergy, peanut allergy, soy allergy, tree nut allergy, wheat allergy","almonds, cashews, milk, peanuts, soy, wheat"
organic walnuts,tree nut allergy (common),walnuts
organic raw sunflower seeds.,sunflower seed allergy (uncommon),sunflower seeds
"organic raisins, organic dry roasted peanuts, organic sunflower seeds, organic almonds, organic dates (organic dates, organic oat flour), organic apricots, organic pumpkin seeds, organic apples, organic walnuts.","almond allergy (uncommon), peanut allergy, sunflower seed allergy (uncommon), walnut allergy","almonds, peanuts, sunflower seeds, walnuts"
us grown organic pecans.,pecan allergy (uncommon),pecans
dry roasted almonds.,almond allergy,almonds
organic pumpkin seeds,pumpkin seed allergy (uncommon),"pumpkin seeds, soy"
100% cold pressed unrefined oil from the first pressing of organic olives.,olive oil allergy (rare),olive oil
"water, bragg's formulated soy protein",soy allergy,soy
organic expeller pressed refined canola oil,none.,none.
"water, organic whole soybeans, organic whole wheat, salt and alcohol (to preserve freshness). cooked, mashed and fermented with a traditional microbial culture (aspergillus oryzae).","soy allergy, wheat allergy","soybeans,wheat"
"water, organic whole soybeans, salt and alcohol (to preserve freshness). cooked, mashed, and fermented with a traditional microbial culture (aspergillus oryzae).","alcohol intolerance, mold allergy., soy allergy","alcohol, aspergillus oryzae., soybeans"
maple,none,none
"precooked lentils, salt, curry spices and herbs, onions, garlic.","garlic allergy., legume allergy","garlic., lentils"
"precooked green split peas, carrots, salt, onion, garlic, herbs and spices","garlic allergy, legume allergy","garlic., peas"
"figs, stone-ground whole wheat flour, honey, pear juice, unhydrogenated soybean oil, molasses, cornstarch, extract of malted barley and corn, cultured whey, sea salt, lemon juice, baking soda, and lecithin.","barley allergy, dairy allergy., gluten allergy, soy allergy","barley, milk, soybeans, wheat"
"peanut butter chips (evaported cane juice, fractionated palm kernel oil, peanut flour, whey, lecithin), roasted peanuts (peanuts, peanut or canola oil, salt), chocolate chips (whole grain malted barley and corn, chocolate liquor with unsweetened chocolate, cocoa butter, lecithin, vanilla), roasted almonds, raisins, peanuts, chocolate peanuts and raisins (whole grain malted barley and corn, cocoa butter, whole milk powder, chocolate liquor with unsweetened chocolate, lecithin, vanilla, food glaze)","barley allergy., dairy allergy, peanut allergy, soy allergy","barley, milk, peanuts, soybeans"
"peanut butter coating (evaporated cane juice, fractionated palm kernal oil, partially defatted peanut flour, whey powder [milk], soy lecithin [an emulsifier]), milk chocolate coating (dehydrated cane juice, cocoa butter, unsweetened chocolate, whole milk powder, soy lecithin [an emulsifier], natural vanilla), malt balls (glucose syrup [corn], whey powder, malted milk powder [malted barley, wheat flour, milk, bicarbonate of soda, mono and diglycerides), pure food glaze.","barley allergy, dairy allergy, peanut allergy, soy allergy, wheat allergy.","barley, milk, peanuts, soybeans, wheat"
"organic pumpkin seeds, organic wheat free tamari, seasoning (water, whole soybeans, salt, sea salt)",soy allergy.,soybeans.
"pretzels: enriched flour (refined wheat flour, malted barley flour, nianin, reduced iron, thiamine mononitrate and riboflavin), salt, malt, yeast, baking soda. yogurt coating: dried cane juice, fractionated palm kernel oil, nonfat milk powder, yogurt powder, lacfic acid, soy lecithin (added as an emulsifier), pure vanilla and confectioners glaze (no sugar)","barley allergy, dairy allergy., gluten allergy","barley, milk., wheat"
organic kamut flakes,gluten allergy.,wheat.
rolled oats,oat allergy,oats
quick rolled oats,oat allergy,oats
organic bulgur.,gluten allergy,wheat
organic toasted buckwheat groats,none,none
rolled barley,barley allergy,barley
"red wheat flakes, white wheat flakes, barley flakes, rye flakes, rolled oats, sunflower seeds.","barley allergy, gluten allergy, oat allergy, rye allergy","barley, oats., rye, wheat"
"whole grain corn, oats, brown rice, soybeans, oat bran, millet, barley, sunflower seeds and flax seeds","barley allergy, corn allergy, oat allergy, soy allergy","barley., corn, oats, soybeans"
"rolled oats, rolled wheat, rolled rye, date pieces, raisins, toasted almonds, roasted hazelnuts, roasted walnuts, raw sunflower seeds","gluten allergy, oat allergy, rye allergy, sunflower seed allergy., tree nut allergy","almonds, hazelnuts, oats, rye, sunflower seeds., walnuts, wheat"
organic hulless barley,barley allergy,barley
organic millet,none,none
organic popcorn,none,none
organic soft white wheat berries,gluten allergy,wheat
organic pearled barley.,barley allergy,barley
organic wheat bran,gluten allergy,wheat
organic raw buckwheat groats,none,none
organic oat bran,oat allergy.,oats
organic thick cut rolled oats,oat allergy.,oats
organic regular rolled oats,oat allergy,oats
organic rolled rye flakes,rye allergy (uncommon),rye
steel-cut are whole groats sliced.,oat allergy,oats
spelt berries,gluten allergy.,wheat
rolled oats,oat allergy,oats
"unmilled wehani, japonica black, and long grain brown rices",none,none
organic arborio rice,none,none
organic golden rose medium brown rice,none,none
"brown rice, wehani rice, black japonica rice, black-eyed peas, brown lentils, green split peas, yellow split peas",none,none
organic short grain brown rice,none,none
organic sweet brown rice,none,none
organic california white sushi rice,none,none
"organic basmati rice, organic green and yellow peas, organic red and green lentils, and organic wild rice.",none,none
organic wild rice,none,none
"water, alcohol and vanilla bean extractives.",alcohol intolerance.,alcohol
organic brown flax seeds,none,none
"cranberries, sugar, sunflower oil.",sunflower seed allergy.,sunflower oil.
"apricots, sulfur dioxide.",sulfite allergy.,sulfur dioxide.
"bananas, vegetable oil(coconut oil, corn oil, and/or palm oil)sugar, natural banana flavor",coconut allergy.,"coconut, corn, palm oil."
"whole rolled oats, milled cane sugar, whole rolled wheat, vegetable oil (canola and/or safflower and/or sunflower oil), coconut, honey, almonds, molasses, natural flavor, salt, organic cardamon seed, organic fennel seed, organic fenugreek seed, organic nu","coconut allergy., gluten allergy, nut allergy, oat allergy","almonds., coconut, oats, wheat"
"dried mango, paprika, sugar, salt, citric acid, and cayenne.",none,none
"milk chocolate (sugar, cocoa butter, chocolate liquor, whole milk powder, lactose, soy lecithin [an emulsifier], salt, vanillin (an artificial flavor]), pretzels (enriched wheat flour [wheat starch, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid, silicon dioxide [anti-caking agent], syrup, salt, sodium bicarbonate, yeast]).","dairy allergy, gluten allergy, soy allergy.","milk, soy., wheat"
"peanuts, wheat flour, sugar, rice flour, tapioca starch salt, leavening(ammonium bicarbonate, baking soda), soy sauce(water, soybean, wheat salt), potato starch.","gluten allergy, peanut allergy, soy allergy.","gluten., peanuts, soy, wheat"
"milk chocolate (32%) (sugar, cocoa butter, dried whole milk, cocoa mass, dried whey (milk), dried skimmed milk, emulsifier: soya lecithin), dark chocolate (17%) (sugar, cocoa mass, cocoa butter, butter oil (milk), emulsifier: soya lecithin, vanilla flavouring), wheatflour contains gluten (with wheatflour, calcium carbonate, iron, niacin, thiamin), white chocolate (13%) (sugar, cocoa butter, dried skimmed milk, butter oil (milk), dried whole milk, emulsifier: soya lecithin, vanilla flavouring), sugar, palm oil, butter (milk), palm kernel oil, palm fat, cocoa powder, partially inverted sugar syrup, glucose syrup, cornflour, dried skimmed milk, dried whole milk, oatmeal (contains gluten), salt, ginger, raising agent: sodium bicarbonate, e450, e503, dextrose, cocoa mass, emulsifier: soya lecithin, ground ginger, pasteurised free range egg, flavourings, orange peel, molasses, lemon peel, colour: carotenes, acidity regulator: citric acid","dairy allergy, egg allergy., gluten allergy, soy allergy","eggs., gluten, milk, soy, wheat"
"carbonated water, acid: citric acid; flavourings, acidity regular: trisodium citrate; sweetener: sucralose; preservative: potassium sorbate",none,none
"organic pistachios, sea salt.",nut allergy,pistachios.
organic apricots,none,none
roasted pistachios.,nut allergy,pistachios.
organic medjool dates.,none,none
organic dried plums,none,none
organic deglet noor dates,none,none
"apple juice concentrate, cranberries, sunflower oil",sunflower seed allergy.,sunflower oil.
organic zante currants,none,none
"organic select thompson seedless raisins, and organic sunflower oil.",sunflower seed allergy.,sunflower oil.
organic unrefined extra virgin coconuts oil,coconut allergy.,coconut
organic brown basmati rice,none,none
organic white basmati rice,none,none
organic unrefined mascobado sugar.,none,none
organic dry roasted peanuts.,peanut allergy.,peanuts
almonds,nut allergy,almonds
pecan halves,nut allergy,pecans
organic cashews.,nut allergy,cashews
organic pearl quinoa,none,none
fresh organic carrots,none,none
"sugar, glucose syrup, modified potato starch, glucose-fructose syrup, acid: malic acid, citric acid, lactic acid, flavourings, acidity regulator: calcium carbonate - fruit, vegetable and plant concentrates (safflower, apple, lemon, pumpkin, carrot, red grape, blackcurrant), elderberry juice from concentrate, invert sugar syrup, spirulina concentrate",none,none
wheat,gluten allergy,wheat
water,none,none
cinnamon,none,none
lentilles vertes,none,none
"eau gaz?ðifi?ðe, sirop de ma??s ?? haute teneur en fructose, colorant : caramel, conservateur : e211, ar??mes naturels et artificiels, moussant : e999.",sodium benzoate allergy,e211
"sucre, farine de _bl?ð_, graisse et huiles v?ðg?ðtales (karit?ð, colza et tournesol), cacao maigre en poudre 7%, sirop de glucose, dextrine, _beurre_ concentr?ð, _oeufs_, p?íte de _noisette_, p?íte de cacao, ?ðmulsifiants : l?ðcithines (colza et tournesol), sel, poudre ?? lever : carbonates d'ammonium, ar??mes.","dairy allergy, egg allergy, gluten allergy, nut allergy (specifically hazelnut allergy","eggs, hazelnuts., milk, wheat"
"ingr??dients : garniture (substances laiti??res. jambon (porc. bouillon de legumes. sel. sucre, dextrose. nitrite de sodium. lactate de sodium, erythorbate de sodium. di??cetate de sodiumi, oeuf liquide entier. fromages cheduar et suisse [substances laitieres modifiees. sel. culture bacterienne. enzyme microbien. chlorure de calcium. natamycine. cellulose]. oignon. amidon de mais modifie. epices. sel. citrate de sodium. phosphate de sodium, carraghenine. gomme de caroube), croute (farine. shortening d'huile de palme et de canola. eau. dextrose. sel. levure. huile vegetale. l-cysteine. propionate de sodium), fromages cheddar et monterey (substances laitieres modifiees. culture bacterienne. sel. enzyme microbien. chlorure de calcium. cellulose. colorant. natamycine). persil seche. contient 2 oeuf. ble. lait. peut contenirz poisson. mollusques. crustaces. noix variees. sesame. moutarde. soya. sulfites.","dairy allergy, egg allergy, fish allergy, gluten allergy, mustard allergy, nut allergy, sesame allergy, shellfish allergy, soy allergy, sulfite sensitivity.","eggs, fish, milk, mustard, sesame, shellfish, soy, sulfites., tree nuts, wheat"
"sirop saveur pistache 5 cl : sirop 99,16 % (sucre cristallis?ð, eau), ar??me, acidifiant : acide citrique e330, denr?ðe alimentaire colorante (concentr?ðs de carthame, pomme), colorant : m?ðlange d'additifs : e171, e211, e131. sirop saveur framboise 5 cl : sirop 93,98 % (sucre, eau), denr?ðe alimentaire colorante (concentr?ðs de patate douce, cerise, pomme, radis, carthame), ar??me naturel, acidifiant : acide citrique e330, colorant : m?ðlange d'additifs : e171, e211. sirop saveur citron 5 cl : sirop 98,86 % (sucre cristallis?ð, eau), ar??me naturel, acidifiant : acide citrique e330, denr?ðe alimentaire colorante (concentr?ð de pomme, carthame), colorant : m?ðlange d'additifs : e171, e211. sirop saveur violette 4 cl : sirop 88,40 % (sucre, eau), ar??me, acidifiant : acide citrique e330, denr?ðe alimentaire colorante (concentr?ð de cassis, carotte, pomme), colorant : m?ðlange d'additifs : e131, e211, e171.",sodium benzoate allergy,e211
"farine de bl?ð (gluten), sucre de canne, p?ðpites de chocolat n ir ?? 50 % de cacao minimum 19,9 % (p?íte de cacao, sucre de canne, beurre de cacao, ?ðmulsifiant : l?ðcithine de soja), cacao biologique en poudre 7,9 0%, caramel tendre d'isigny au beurre sal?ð 5,9 % (sirop de glucose, sucre, lait entier en sal?ð isigny aop (lait), eau, sel de gu?ðrande, ar??me naturel vanille, poudre ?? lever : bicarbonate de soude, ?ðmulsifiant : sucroesters d'acides gras), bicarbonate de soude, diphosphate dissodique. peut contenir des traces de fruits ?? coques moutjrde, s?ðsame, gluten, lait, ??uf, soja et sulfites.","dairy allergy, egg allergy, mustard allergy, sesame allergy, soy allergy, sulfite sensitivity., wheat allergy","eggs, gluten, milk, mustard, sesame, soy, sulfites."
"vin rouge, sec. contient des _sulfites_.",sulfite sensitivity,sulfites.
"wheat flour, butter (cream), water, yeast, sugar, salt, eggs, wheat gluten, ascorbic acid, enzymes.","dairy allergy, egg allergy., wheat allergy","butter (dairy), eggs., wheat"
"enriched wheat flour (wheat flour, malted barley flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid), sugar, blueberries, eggs, soybean oil, water, palm oil, corn starch, leavening (sodium acid pyrophosphate, baking soda), natural flavor, s","egg allergy, soy allergy., wheat allergy","eggs, soybean oil., wheat"
"enriched wheat flour (wheat flour niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid) malted barley flour, water, soybean oil, wheat gluten, yeast, sugar, salt, calcium sulfate, ascorbic acid, enzymes, sorbic acid, vegetable oil, monoglyce","soy allergy., wheat allergy","soy., wheat"
"enriched wheat flour (niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid, malted barley flour), whole milk, butter (butter fat, solids, water), cream cheese (pasteurized milk and cream, cheese culture, salt, carob bean gum), cheddar cheese","milk allergy., wheat allergy","milk., wheat"
"enriched wheat flour (niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid, malted barley flour), whole milk, butter (butter fat, solids, water), cream cheese (pasteurized milk and cream, cheese culture, salt, carob bean gum), blueberries, su","milk allergy., wheat allergy","milk., wheat"
"enriched flour (bleached wheat flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid), palm soy oil margarine (palm oil, soybean oil, water, salt, beta carotene [for color], vitamin a palmitate added), sugar, raisins, brown sugar, oats,","soy allergy., wheat allergy","soy., wheat"
"unbleached enriched flour (wheat flour, barley malt flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid), water, sugar, contains 2% or less of: wheat gluten, wheat flour, salt, yeast, distilled vinegar, cultured corn syrup solids, cul",wheat allergy.,wheat.
"enriched wheatflour (wheatflour, malted barley flour, niacin, iron, thlamin mononitrate, riboflavin, folic acid), unsalted butter, chocolate chips (sugar, chocolate liquor, cocoa butter, soy lecithin, vanilla), sour cream (cultured pasteurized milk, cream","milk allergy, soy allergy., wheat allergy","milk, soy., wheat"
"unbleached wheat flour, sugar, vegetable fat non hydrogenated, water, yeast, eggs, butter, soy flour, salt, vanilla.","egg allergy, milk allergy, soy allergy., wheat allergy","eggs, milk, soy., wheat"
"enriched flour (bleached wheat flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid), palm soy oil margarine (palm oil, soybean oil, water, salt, beta carotene, vitamin a palmitate), unsalted butter (milk), semisweet chocolate chunks (","cocoa allergy., milk allergy, soy allergy, wheat allergy","cocoa., milk, soy, wheat"
"wheatflour, sugar, eggs, soybean oil, water, chocolate chips (sugar, chocolate liquor, cocoa butter, soy lecithin (an emulsifier), and vanilla), cocoa powder treated with alkali, dairy whey (milk), corn starch, leavening (potassium bicarbonate, calcium ac","cocoa allergy., milk allergy, soy allergy, wheat allergy","cocoa., milk, soy, wheat"
"enriched wheat flour (wheat flour, malted barley flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid), sugar, eggs, blueberries, soybean oil, water, corn starch, leavening (sodium acid pyrophosphate, baking soda), natural flavor, soy flour,","egg allergy., soy allergy, wheat allergy","eggs, milk., soy, wheat"
"enriched wheatflour (wheat flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid), water, yeast, vegetable oil, salt, dough improver (yeast, wheatflour. enzymes, soybean oil, ascorbic acid).","soy allergy., wheat allergy","soy., wheat"
